sn,seglen
749070,1460
750530,1460
743353,1460
751990,1460
753450,1460
754910,1460
756370,1460
757830,1460
735216,1460
760750,1460
759290,1460
762210,1460
763670,1460
766590,1460
768050,1460
769510,1460
770970,1460
772430,1460
773890,1460
765130,1460
775350,1460
776810,1460
778270,1460
779730,1460
781190,1460
782650,1460
784110,1460
785570,1460
787030,1460
788490,1460
789950,1460
791410,1460
792870,1460
794330,778
798028,1460
799488,1460
800948,1460
802408,409
795108,1460
796568,1460
796568,1460
796568,1460
802817,1460
804277,1460
805737,1460
807197,1460
808657,1460
810117,1460
811577,1460
813037,1460
814497,1460
815957,1460
817417,1460
818877,1460
820337,1460
821797,1460
823257,1460
824717,1460
826177,1372
827549,1460
829009,1460
830469,1460
831929,1460
833389,1460
834849,1010
835859,1460
837319,1460
840239,1460
841699,1460
843159,825
843984,1460
845444,1460
846904,1460
848364,1460
849824,1460
851284,1460
852744,1460
838779,1460
854204,1460
855664,1460
858584,1460
860044,1460
864424,1460
865884,1460
857124,1460
861504,1460
867344,1460
868804,1460
862964,1460
862964,1460
870264,1460
873184,1460
874644,1460
876104,1460
877564,1460
879024,1460
880484,1460
881944,1460
871724,1460
883404,1460
884864,1460
887784,1460
889244,1460
890704,1460
892164,1121
894745,1460
886324,1460
893285,1460
897665,1460
899125,1460
896205,1460
899125,1460
900585,1460
902045,1460
903505,1460
904965,1460
906425,1460
907885,1460
909345,1460
910805,1460
912265,1460
913725,1460
915185,1460
916645,1460
918105,1460
919565,1460
922485,1460
925405,300
927165,1460
928625,1460
930085,1460
921025,1460
923945,1460
925705,1460
931545,1460
934465,1460
935925,1460
938845,1460
940305,1460
933005,1460
941765,1460
937385,1460
943225,1460
944685,1460
946145,1460
947605,1460
949065,1460
950525,1460
951985,1460
954905,1460
956365,1460
957825,1460
959285,1460
960745,1460
953445,1460
962205,1460
963665,1460
965125,1460
966585,1460
968045,1460
969505,1460
970965,1460
972425,1460
973885,1460
976805,1460
978265,1460
979725,1460
981185,1460
982645,1460
984105,1460
985565,1460
975345,1460
987025,1460
988485,1460
989945,1460
992865,1460
994325,1460
995785,1460
997245,1460
998705,1460
991405,1460
1000165,1460
1001625,1460
1003085,1460
1004545,1460
1006005,1460
1007465,152
1007617,1460
1009077,1460
1010537,1460
1011997,1460
1013457,1460
1014917,892
1015809,1460
1017269,1460
1018729,1460
1020189,1460
1021649,1460
1023109,892
1024001,1460
1025461,1460
1026921,1460
1028381,1460
1029841,1460
1031301,892
1032193,1460
1033653,1460
1035113,1460
1036573,1460
1038033,1460
1039493,892
1040385,1460
1041845,1460
1043305,1460
1044765,1460
1046225,1460
1047685,892
1048577,1460
1050037,1460
1051497,1460
1052957,1460
1054417,1460
1055877,892
1056769,1460
1058229,1460
1059689,1460
1061149,1460
1062609,1460
1064069,892
1064961,1460
1066421,1460
1067881,1460
1069341,1460
1070801,1460
1072261,892
1073153,1460
1074613,1460
1076073,1460
1077533,1460
1078993,1460
1080453,892
1081345,1460
1082805,1460
1084265,1460
1087185,1460
1088645,892
1089537,1460
1092457,1460
1093917,1460
1095377,1460
1096837,892
1085725,1460
1090997,1460
1097729,1460
1099189,1460
1100649,1460
1102109,1460
1103569,1460
1107381,1460
1108841,1460
1110301,1460
1111761,1460
1113221,892
1106489,892
1105029,1460
1114113,1460
1115573,1460
1117033,1460
1118493,1460
1119953,1460
1121413,1460
1122873,1460
1124333,1460
1125793,1460
1127253,1460
1128713,1460
1130173,1109
1131282,1460
1132742,1460
1134202,1460
1135662,1460
1137122,1460
1138582,910
1139492,1460
1140952,1460
1143872,1460
1145332,1460
1146792,454
1147246,1460
1148706,1460
1150166,1460
1151626,1460
1153086,1460
1154546,1460
1156006,1460
1157466,1460
1142412,1460
1158926,1460
1160386,1460
1161846,1460
1163306,1460
1164766,1460
1167686,1460
1169146,1460
1170606,851
1166226,1460
1171457,1460
1172917,1460
1174377,1460
1175837,1460
1178757,892
1179649,1460
1181109,1460
1182569,1460
1185489,1460
1177297,1460
1177297,1460
1177297,1460
1186949,1460
1188409,1460
1184029,1460
1189869,1460
1191329,1460
1192789,1460
1194249,1460
1195709,1460
1197169,1460
1198629,1460
1200089,1460
1201549,1460
1203009,1460
1204469,1460
1205929,1460
1207389,1460
1208849,1460
1210309,1460
1211769,849
1212618,1460
1215538,1460
1216998,1460
1218458,1460
1219918,1059
1220977,1460
1222437,1460
1223897,1460
1225357,1460
1226817,1460
1228277,1460
1229737,1460
1231197,1460
1232657,1460
1234117,1460
1235577,1460
1237037,1460
1238497,1460
1239957,1460
1241417,1460
1242877,1460
1244337,1460
1245797,1460
1247257,1460
1248717,1460
1250177,1460
1251637,1460
1214078,1460
1253097,1460
1254557,1460
1256017,1460
1257477,1460
1258937,1460
1260397,1460
1261857,1460
1263317,1460
1264777,1460
1266237,1460
1267697,1460
1269157,1460
1270617,1460
1272077,1460
1273537,1460
1276457,1460
1277917,1245
1279162,1460
1280622,1460
1282082,1460
1283542,1460
1285002,1143
1274997,1460
1286145,1460
1287605,1460
1289065,1460
1290525,1460
1291985,1460
1293445,892
1294337,1460
1295797,1460
1297257,1460
1300177,1460
1301637,892
1302529,1460
1303989,1460
1305449,1460
1306909,1460
1308369,1460
1309829,892
1298717,1460
1310721,1460
1313641,1460
1315101,1460
1316561,1460
1318021,892
1312181,1460
1318913,1460
1320373,1460
1321833,1460
1323293,1460
1324753,1460
1326213,892
1327105,1460
1328565,1460
1330025,1460
1331485,1460
1332945,1460
1334405,892
1335297,1460
1336757,1460
1338217,1460
1339677,1460
1341137,1460
1342597,892
1343489,1460
1344949,1460
1346409,1460
1349329,1460
1350789,892
1351681,1460
1354601,1460
1356061,1460
1357521,1460
1347869,1460
1353141,1460
1358981,892
1359873,1460
1361333,1460
1362793,1460
1364253,1460
1365713,1460
1367173,892
1368065,1460
1369525,1460
1370985,1460
1372445,1460
1373905,1460
1376257,1460
1377717,1460
1379177,1460
1380637,1460
1382097,1460
1383557,892
1375365,1460
1384449,1460
1387369,1460
1388829,1460
1390289,1460
1391749,1460
1393209,1460
1394669,1460
1397589,1460
1385909,1460
1399049,1460
1400509,1460
1401969,1460
1403429,1460
1396129,1460
1404889,1460
1406349,1460
1409269,1460
1410729,1460
1412189,1460
1413649,1460
1415109,1460
1416569,1460
1407809,1460
1418029,1460
1419489,1460
1420949,1460
1422409,1460
1423869,1460
1425329,191
1425520,1460
1428440,1460
1432820,1460
1434280,1460
1435740,1460
1426980,1460
1429900,1460
1431360,1460
1437200,1460
1438660,1460
1440120,1460
1441580,213
1441793,1460
1443253,1460
1444713,1460
1446173,1460
1447633,1460
1449093,892
1449985,1460
1451445,1460
1452905,1460
1454365,1460
1455825,1460
1457285,892
1458177,1460
1459637,1460
1461097,1460
1462557,1460
1464017,1460
1465477,892
1466369,1460
1467829,1460
1469289,1460
1470749,1460
1472209,1460
1473669,892
1476021,1460
1477481,1460
1478941,1460
1481861,892
1474561,1460
1482753,1460
1480401,1460
1485673,1460
1487133,1460
1488593,1460
1490053,1460
1484213,1460
1491513,1460
1492973,1460
1494433,1460
1495893,1460
1497353,1460
1498813,386
1499199,1460
1500659,1460
1502119,1460
1503579,1460
1505039,1460
1507959,1460
1509419,1460
1512339,1460
1513799,1460
1515259,1460
1506499,1460
1510879,1460
1518179,1460
1521099,1460
1522559,1460
1516719,1460
1519639,1460
1524019,1460
1525479,1460
1526939,1460
1528399,1460
1529859,1460
1531319,1460
1532779,1460
1534239,1460
1535699,1460
1537159,1460
1540079,507
1540586,1460
1542046,1460
1543506,1460
1544966,1460
1546426,1460
1547886,1460
1538619,1460
1549346,1460
1550806,1460
1553726,1460
1555186,1460
1556646,1460
1558106,1460
1559566,1460
1552266,1460
1561026,1460
1562486,1460
1563946,1460
1565406,1460
1566866,1460
1568326,1460
1569786,1460
1571246,1460
1572706,1460
1574166,1460
1575626,1460
1578546,1460
1580006,1460
1581466,1460
1582926,1460
1584386,1460
1585846,1460
1577086,1460
1587306,1460
1588766,483
1589249,1460
1590709,1460
1592169,1460
1593629,1460
1595089,1460
1597441,1460
1598901,1460
1600361,1460
1601821,1460
1603281,1460
1596549,1460
1604741,892
1605633,1460
1608553,1460
1610013,1460
1607093,1460
1612933,1460
1614393,1460
1614393,1460
1611473,1460
1615853,1460
1617313,1460
1618773,1460
1623153,1460
1624613,1460
1626073,1460
1627533,1460
1620233,1460
1621693,1460
1628993,1460
1630453,1460
1631913,1460
1633373,1460
1634833,1460
1636293,1460
1637753,1460
1639213,1460
1640673,1460
1643593,1460
1645053,1460
1646513,1460
1647973,1460
1649433,1460
1650893,1460
1642133,1460
1652353,1460
1653813,1460
1656733,1460
1659653,1460
1662573,1460
1655273,1460
1658193,1460
1664033,1460
1665493,1460
1661113,1460
1666953,1460
1668413,1460
1671333,1460
1672793,1460
1674253,1460
1675713,1460
1677173,1460
1669873,1460
1678633,1460
1680093,1460
1681553,1460
1683013,1460
1684473,1460
1685933,1460
1687393,1460
1688853,1460
1690313,1460
1691773,1460
1693233,1460
1694693,1460
1696153,1460
1697613,1460
1700533,1460
1701993,1460
1703453,1460
